Season,SeasonStartYear,PlayoffYear,SeasonStatus,PlayerLeaderboardName,Player,TripleDoubles,IsTiedLeader,TeamAbbrev,Team,PlayoffQualification,PlayoffRoundReached,FinalPlayoffResult
1990-91,1990,1991,Completed,M. Johnson*,,13,False,,,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
1991-92,1991,1992,Completed,M. Jordan* (2),,2,True,,,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
1991-92,1991,1992,Completed,G. Payton* (2),,2,True,,,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
1991-92,1991,1992,Completed,S. Pippen* (2),,2,True,,,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
1991-92,1991,1992,Completed,D. Robinson*,,2,True,,,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
1992-93,1992,1993,Completed,C. Barkley*,,6,False,,,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
1993-94,1993,1994,Completed,D. Robinson*,,5,False,,,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
1994-95,1994,1995,Completed,J. Kidd*,,4,False,,,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
1995-96,1995,1996,Completed,G. Hill*,,10,False,,,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
1996-97,1996,1997,Completed,G. Hill*,,13,False,,,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
1997-98,1997,1998,Completed,G. Hill* (4),,4,True,,,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
1997-98,1997,1998,Completed,J. Kidd*,,4,True,,,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
1998-99,1998,1999,Completed,J. Kidd*,,7,False,,,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
1999-00,1999,2000,Completed,J. Kidd* (5),,5,True,,,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
1999-00,1999,2000,Completed,C. Webber*,,5,True,,,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
2000-01,2000,2001,Completed,J. Kidd*,,7,False,,,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
2001-02,2001,2002,Completed,J. Kidd*,,8,False,,,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
2002-03,2002,2003,Completed,K. Garnett*,,6,False,,,Did Not Make Playoffs,Did Not Make Playoffs,Did Not Make Playoffs
